name,hours,points,bonus
Yorkshire Captain,1350,105000,0
Senior Captain,750,60000,0
Captain,390,33000,0
Training Captain,210,19000,0
Senior First Officer,140,13500,0
First Officer,90,7100,0
Training First Officer,55,3000,0
Senior Second Officer,30,1500,0
Second Officer,10,30,0
Training Second Officer,0,0,0
